received;score;is_arquivamento;hits;subject;processos;indicios;entry_id;html_file;html_filename;processed_publications
2025-06-25_102103;0;0;;Publ.: 25/06/2025 - RONDONIA;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4586A0000;html\2025-06-25_102103__Publ._ 25_06_2025 - RONDONIA.html;2025-06-25_102103__Publ._ 25_06_2025 - RONDONIA.html;
2025-06-25_102011;0;0;;Publ.: 25/06/2025 - PERNAMBUCO;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458670000;html\2025-06-25_102011__Publ._ 25_06_2025 - PERNAMBUCO.html;2025-06-25_102011__Publ._ 25_06_2025 - PERNAMBUCO.html;
2025-06-25_101951;0;0;;Publ.: 25/06/2025 - PARAIBA;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458650000;html\2025-06-25_101951__Publ._ 25_06_2025 - PARAIBA.html;2025-06-25_101951__Publ._ 25_06_2025 - PARAIBA.html;
2025-06-25_101943;0;0;;Publ.: 25/06/2025 - PARA;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458640000;html\2025-06-25_101943__Publ._ 25_06_2025 - PARA.html;2025-06-25_101943__Publ._ 25_06_2025 - PARA.html;
2025-06-25_101933;0;0;;Publ.: 25/06/2025 - MATO GROSSO DO SUL;"0802588-51.2025.8.12.0101; 5006039-71.2025.4.03.6000";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458610000;html\2025-06-25_101933__Publ._ 25_06_2025 - MATO GROSSO DO SUL.html;2025-06-25_101933__Publ._ 25_06_2025 - MATO GROSSO DO SUL.html;
2025-06-25_101836;0;0;;Publ.: 25/06/2025 - MARANHAO;"1009637-42.2023.4.01.3700; 1046441-38.2025.4.01.3700; 1047879-02.2025.4.01.3700; 1047932-80.2025.4.01.3700";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458600000;html\2025-06-25_101836__Publ._ 25_06_2025 - MARANHAO.html;2025-06-25_101836__Publ._ 25_06_2025 - MARANHAO.html;
2025-06-25_101823;0;0;;Publ.: 25/06/2025 - ESPIRITO SANTO;"0000910-39.2017.4.02.0000; 0011794-98.2015.4.02.0000; 0014952-03.2016.4.03.0000; 0126403-29.2015.4.02.5001; 5002928-84.2025.4.02.5005; 5003038-62.2025.8.08.0000; 5003316-81.2025.4.02.5006; 5003664-73.2024.8.08.0014; 5011868-42.2025.8.08.0024; 5012812-44.2025.8.08.0024; 5041327-26.2024.8.08.0024";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4585E0000;html\2025-06-25_101823__Publ._ 25_06_2025 - ESPIRITO SANTO.html;2025-06-25_101823__Publ._ 25_06_2025 - ESPIRITO SANTO.html;
2025-06-25_101752;0;0;;Publ.: 25/06/2025 - BAHIA;8040263-20.2023.8.05.0000;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4585B0000;html\2025-06-25_101752__Publ._ 25_06_2025 - BAHIA.html;2025-06-25_101752__Publ._ 25_06_2025 - BAHIA.html;
2025-06-25_101724;0;0;;Publ.: 25/06/2025 - ALAGOAS;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458580000;html\2025-06-25_101724__Publ._ 25_06_2025 - ALAGOAS.html;2025-06-25_101724__Publ._ 25_06_2025 - ALAGOAS.html;
2025-06-25_092014;0;0;;Publicações do dia : 25/06/2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MARANHÃO - MATO GROSSO - MATO GROSSO DO SUL - MINAS GERAIS - PARÁ - PARAÍBA - PARANÁ - PERNAMBUCO - PIAUÍ - RIO DE ...;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458560000;html\2025-06-25_092014__Publicações do dia _ 25_06_2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MAR.html;2025-06-25_092014__Publicações do dia _ 25_06_2025 - Jornal ACRE - ALAGOAS - AMAPÁ - AMAZONAS - BAHIA - CEARÁ - DISTRITO FEDERAL - ESPÍRITO SANTO - GOIÁS - MAR.html;
